Country.Name,1962,1967,1972,1977,1982,1987,1990,1992,1997,2002,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000
Albania,1.070000,1.070000,1.070000,1.070000,1.070000,1.070000,1.070000,1.070000,1.078000,1.078000,1.078000,1.078000,1.078000,1.078000,1.078000,1.078000,1.078000,1.080000
Algeria,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000
American Samoa,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,
Angola,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000
Antigua and Barbuda,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000,1.030000
Arab World,1.051635,1.051506,1.051257,1.050909,1.050534,1.050865,1.050970,1.051014,1.051027,1.052367,1.052296,1.052396,1.052516,1.052646,1.052779,1.052898,1.052685,1.052127
Argentina,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000,1.040000
Armenia,1.065000,1.064000,1.057000,1.052000,1.050000,1.058000,1.069400,1.077000,1.151000,1.173000,1.151000,1.148400,1.145800,1.143200,1.140600,1.138000,1.136200,1.130000
Aruba,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000
Australia,1.058000,1.055000,1.053000,1.056000,1.055000,1.054000,1.055200,1.056000,1.054000,1.055000,1.056000,1.056200,1.056400,1.056600,1.056800,1.057000,1.056600,1.060000
Austria,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.055000,1.060000
Azerbaijan,1.062000,1.062000,1.062000,1.062000,1.062000,1.062000,1.069800,1.075000,1.130000,1.170000,1.166000,1.164400,1.162800,1.161200,1.159600,1.158000,1.151400,1.140000
"Bahamas, The",1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.057000,1.060000
